problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,RUNTIME_ERROR,5,16.36%,0.400,306.5859375,,5,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,2.70%,0.740,5.17578125,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.030,2.07421875,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.130,1.953125,,4.72823,4.07686,3.3626899999999997,2.89704,2.49904,2.03989,1.73442,1.4582600000000001,1.1255,0.8935700000000001
travel,RUNTIME_ERROR,0,3.57%,0.210,333.36328125,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,11,57.53%,0.020,0,,0,11,0,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,40,91.83%,0.360,1.85546875,,0,5,10,10,15,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,0.180,6.2265625,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.020,2.6328125,,40,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,RUNTIME_ERROR,0,0.00%,0.020,1.7421875,,0,0,0,0,0,0,0,0,0,0
TOTAL,,221,28.66%,,,9.09%,,,,,,,,,,
