Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,abc,abc_rel,cyberland,cyberland_rel,sequence,sequence_rel
gemini-2.5-pro,203.00,,78.08%,0.00%,1.663,121.72,3,66.00,,97.00,,40.00,
gemini-2.5-flash,144.00,,67.98%,0.00%,1.690,106.37,3,36.00,,97.00,,11.00,
gpt-5,132.00,,59.68%,33.33%,0.717,18.87,3,4.00,,100.00,,28.00,
deepseek-chat,120.00,,60.09%,0.00%,1.657,45.55,3,12.00,,97.00,,11.00,
seed-oss_16384,113.00,,44.78%,0.00%,1.623,42.37,3,4.00,,97.00,,12.00,
gpt-4.1,112.00,,44.73%,0.00%,1.663,238.38,3,4.00,,97.00,,11.00,
gpt-o3-mini-high,109.00,,37.82%,0.00%,0.993,58.79,3,0.00,,97.00,,12.00,
Qwen3-32B-Non-Thinking,108.00,,38.55%,0.00%,0.963,813.73,3,0.00,,97.00,,11.00,
DeepSeek-R1-Distill-Qwen-14B,97.00,,28.47%,0.00%,0.637,35.36,3,0.00,,97.00,,0.00,
deepseek-reasoner,97.00,,30.39%,0.00%,1.133,37.18,3,0.00,,97.00,,0.00,
seed-oss_4096,97.00,,30.39%,0.00%,1.143,23.86,3,0.00,,97.00,,0.00,
seed-oss_-1,97.00,,37.34%,0.00%,1.593,48.19,3,0.00,,97.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,97.00,,28.07%,0.00%,1.603,232.14,3,0.00,,97.00,,0.00,
Qwen3-32B,97.00,,56.01%,0.00%,2.395,64.02,2,N/A,,97.00,,0.00,
seed-oss_0,63.00,,20.63%,0.00%,0.350,19.88,3,0.00,,63.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,55.00,,26.35%,0.00%,0.703,10.59,3,0.00,,44.00,,11.00,
seed-oss_8192,53.00,,29.20%,0.00%,1.040,36.27,3,4.00,,49.00,,0.00,
seed-oss_512,44.00,,11.79%,0.00%,0.183,8.64,3,0.00,,44.00,,0.00,
gpt-oss-20b-high,37.00,,26.32%,0.00%,0.317,30.65,3,4.00,,20.00,,13.00,
DeepSeek-Coder-V2-Lite-Instruct,35.00,,28.03%,0.00%,0.640,4.74,3,4.00,,20.00,,11.00,
gpt-oss-120b-high,31.00,,22.42%,0.00%,0.253,25.06,3,4.00,,15.00,,12.00,
Qwen3-8B,31.00,,22.70%,0.00%,0.660,8.90,3,0.00,,20.00,,11.00,
Qwen3-14B-Non-Thinking,31.00,,23.10%,0.00%,0.870,819.65,3,0.00,,20.00,,11.00,
Qwen3-8B-Non-Thinking,31.00,,22.70%,0.00%,1.610,187.95,3,0.00,,20.00,,11.00,
Codestral-22B-v0.1,26.00,,22.29%,0.00%,0.610,5.70,3,0.00,,15.00,,11.00,
Qwen2.5-Coder-32B-Instruct,26.00,,21.88%,0.00%,0.880,821.17,3,0.00,,15.00,,11.00,
gpt-oss-20b-low,24.00,,18.67%,0.00%,0.180,22.05,3,4.00,,20.00,,0.00,
Qwen3-30B-Non-Thinking,24.00,,19.08%,0.00%,0.917,835.07,3,4.00,,20.00,,0.00,
gpt-oss-120b-low,24.00,,15.80%,0.00%,0.973,17.80,3,4.00,,20.00,,0.00,
Qwen3-30B,20.00,,13.72%,0.00%,0.117,24.61,3,0.00,,20.00,,0.00,
QwQ-32B,20.00,,13.34%,0.00%,0.133,19.46,3,0.00,,20.00,,0.00,
Qwen3-14B,20.00,,13.72%,0.00%,0.153,24.72,3,0.00,,20.00,,0.00,
Qwen3-4B,20.00,,13.72%,0.00%,0.160,26.65,3,0.00,,20.00,,0.00,
seed-oss_1024,20.00,,12.97%,0.00%,0.663,23.02,3,0.00,,20.00,,0.00,
seed-oss_2048,20.00,,8.55%,0.00%,0.697,26.96,3,0.00,,20.00,,0.00,
Llama-3.1-8B-Instruct,15.00,,6.50%,0.00%,0.050,4.78,3,0.00,,15.00,,0.00,
gpt-oss-120b-medium,15.00,5.00%,12.53%,0.00%,0.283,17.36,3,0.00,0.00%,15.00,15.00%,0.00,0.00%
gpt-oss-20b-medium,15.00,,15.33%,0.00%,0.337,17.96,3,0.00,,15.00,,0.00,
Llama-4-Scout,15.00,,20.31%,0.00%,0.650,5.84,3,4.00,,0.00,,11.00,
Mistral-Small-3.1-24B-2503,15.00,,11.40%,0.00%,1.603,94.76,3,0.00,,15.00,,0.00,
Qwen2.5-72B,11.00,,14.97%,0.00%,0.603,17.36,3,0.00,,0.00,,11.00,
Qwen3-4B-Non-Thinking,11.00,,22.46%,0.00%,0.900,36.74,2,N/A,,0.00,,11.00,
Qwen2.5-Coder-14B-Instruct,11.00,,15.38%,0.00%,1.107,1629.72,3,0.00,,0.00,,11.00,
Qwen2.5-Coder-7B-Instruct,11.00,,15.38%,0.00%,1.603,161.66,3,0.00,,0.00,,11.00,
Llama-3.3-70B-Instruct,11.00,,15.78%,0.00%,1.607,511.11,3,0.00,,0.00,,11.00,
DeepSeek-R1-Distill-Llama-8B,4.00,,5.33%,0.00%,0.050,4.86,3,4.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,0.00%,0.00%,0.000,0.00,1,N/A,,0.00,,N/A,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.003,1.82,3,0.00,,0.00,,0.00,
