Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,crtez,crtez_rel,stablo,stablo_rel,tornjevi,tornjevi_rel,wow,wow_rel,zid,zid_rel
gpt-5,450.00,,100.00%,100.00%,0.196,19.19,5,120.00,,120.00,,90.00,,50.00,,70.00,
gpt-oss-20b-high,450.00,,100.00%,100.00%,0.202,19.02,5,120.00,,120.00,,90.00,,50.00,,70.00,
gpt-oss-120b-high,405.00,,94.47%,80.00%,0.480,94.45,5,75.00,,120.00,,90.00,,50.00,,70.00,
gpt-oss-120b-medium,350.00,83.33%,88.51%,80.00%,0.640,18.60,5,20.00,16.67%,120.00,100.00%,90.00,100.00%,50.00,100.00%,70.00,100.00%
gemini-2.5-pro,350.00,,88.51%,80.00%,0.956,46.10,5,20.00,,120.00,,90.00,,50.00,,70.00,
gpt-oss-20b-medium,330.00,,80.85%,80.00%,0.450,79.37,5,0.00,,120.00,,90.00,,50.00,,70.00,
gemini-2.5-flash,330.00,,81.70%,80.00%,0.550,54.30,5,0.00,,120.00,,90.00,,50.00,,70.00,
gpt-o3-mini-high,330.00,,81.70%,80.00%,0.726,22.50,5,0.00,,120.00,,90.00,,50.00,,70.00,
gpt-oss-20b-low,330.00,,81.70%,80.00%,0.756,29.09,5,0.00,,120.00,,90.00,,50.00,,70.00,
gpt-oss-120b-low,330.00,,80.85%,80.00%,0.978,61.67,5,0.00,,120.00,,90.00,,50.00,,70.00,
seed-oss_-1,324.00,,84.44%,60.00%,0.880,115.41,5,20.00,,120.00,,64.00,,50.00,,70.00,
deepseek-chat,318.00,,81.84%,60.00%,1.126,48.16,5,20.00,,120.00,,90.00,,50.00,,38.00,
gpt-4.1,285.00,,76.83%,60.00%,1.026,54.62,5,0.00,,75.00,,90.00,,50.00,,70.00,
seed-oss_8192,251.00,,64.44%,40.00%,1.158,35.01,5,20.00,,120.00,,61.00,,50.00,,0.00,
seed-oss_16384,245.00,,73.07%,60.00%,1.372,41.60,5,20.00,,15.00,,90.00,,50.00,,70.00,
deepseek-reasoner,235.00,,63.36%,40.00%,1.320,54.20,5,20.00,,75.00,,90.00,,50.00,,0.00,
Qwen3-32B,225.00,,68.10%,60.00%,1.484,38.01,5,0.00,,15.00,,90.00,,50.00,,70.00,
Qwen3-30B,225.00,,67.25%,60.00%,1.536,35.77,5,0.00,,15.00,,90.00,,50.00,,70.00,
Qwen3-14B,220.00,,55.68%,40.00%,1.624,67.91,5,0.00,,60.00,,90.00,,0.00,,70.00,
QwQ-32B,210.00,,61.70%,60.00%,0.520,4.25,5,0.00,,0.00,,90.00,,50.00,,70.00,
Qwen3-8B,175.00,,49.21%,40.00%,1.608,158.20,5,0.00,,15.00,,90.00,,0.00,,70.00,
Qwen3-4B,164.00,,62.06%,20.00%,1.436,36.53,5,0.00,,15.00,,61.00,,50.00,,38.00,
Qwen2.5-Coder-32B-Instruct,128.00,,34.44%,20.00%,0.334,16.81,5,0.00,,0.00,,90.00,,0.00,,38.00,
Qwen2.5-72B,114.00,,35.91%,0.00%,1.526,34.13,5,0.00,,15.00,,61.00,,0.00,,38.00,
DeepSeek-R1-Distill-Qwen-32B,106.00,,43.01%,20.00%,1.906,77.13,5,0.00,,0.00,,18.00,,50.00,,38.00,
