Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,chatnoi,chatnoi_rel,icecreammachines,icecreammachines_rel,islandalliances,islandalliances_rel
gpt-5,300.00,,100.00%,100.00%,0.340,45.88,3,100.00,,100.00,,100.00,
deepseek-reasoner,300.00,,100.00%,100.00%,0.353,48.48,3,100.00,,100.00,,100.00,
gpt-oss-20b-high,300.00,,100.00%,100.00%,1.110,43.53,3,100.00,,100.00,,100.00,
gpt-oss-120b-medium,271.00,90.33%,95.62%,66.67%,1.670,61.12,3,71.00,71.00%,100.00,100.00%,100.00,100.00%
gpt-o3-mini-high,264.00,,93.90%,66.67%,1.557,93.89,3,64.00,,100.00,,100.00,
gpt-oss-120b-high,246.00,,90.14%,66.67%,0.250,97.48,3,46.00,,100.00,,100.00,
gemini-2.5-pro,241.00,,85.99%,66.67%,0.553,63.76,3,41.00,,100.00,,100.00,
seed-oss_16384,229.00,,89.73%,66.67%,0.210,30.12,3,29.00,,100.00,,100.00,
Qwen3-32B,229.00,,91.17%,66.67%,0.340,68.53,3,29.00,,100.00,,100.00,
gpt-4.1,229.00,,91.17%,66.67%,0.630,140.70,3,29.00,,100.00,,100.00,
gemini-2.5-flash,222.00,,88.58%,66.67%,1.560,43.95,3,22.00,,100.00,,100.00,
gpt-oss-20b-medium,222.00,,87.94%,66.67%,1.640,236.49,3,22.00,,100.00,,100.00,
Qwen3-14B,217.00,,80.69%,66.67%,0.647,193.74,3,17.00,,100.00,,100.00,
seed-oss_-1,217.00,,83.78%,66.67%,1.703,147.43,3,17.00,,100.00,,100.00,
gpt-oss-120b-low,212.00,,85.02%,66.67%,0.443,98.75,3,12.00,,100.00,,100.00,
deepseek-chat,212.00,,86.44%,66.67%,0.447,112.89,3,12.00,,100.00,,100.00,
gpt-oss-20b-low,200.00,,80.03%,66.67%,0.050,7.65,3,0.00,,100.00,,100.00,
seed-oss_8192,200.00,,81.02%,66.67%,0.083,17.46,3,0.00,,100.00,,100.00,
Qwen3-30B,200.00,,80.78%,66.67%,0.160,8.48,3,0.00,,100.00,,100.00,
QwQ-32B,191.00,,86.15%,33.33%,0.850,77.36,3,12.00,,79.00,,100.00,
Qwen3-8B,179.00,,71.48%,33.33%,0.453,8.86,3,0.00,,79.00,,100.00,
DeepSeek-R1-Distill-Llama-70B,179.00,,72.93%,33.33%,0.483,12.77,3,0.00,,79.00,,100.00,
DeepSeek-R1-Distill-Qwen-32B,143.00,,78.15%,0.00%,2.673,96.17,3,12.00,,79.00,,52.00,
Llama-3.3-70B-Instruct,109.00,,74.28%,0.00%,2.573,59.94,3,5.00,,52.00,,52.00,
seed-oss_4096,107.00,,48.74%,33.33%,0.117,7.22,3,0.00,,7.00,,100.00,
seed-oss_2048,107.00,,49.20%,33.33%,0.370,26.49,3,0.00,,7.00,,100.00,
Qwen2.5-72B,107.00,,63.09%,33.33%,0.437,3.53,3,0.00,,7.00,,100.00,
Mistral-Small-3.1-24B-2503,107.00,,62.85%,33.33%,1.180,3.61,3,0.00,,7.00,,100.00,
Llama-4-Scout,107.00,,55.60%,33.33%,2.380,115.85,3,100.00,,7.00,,0.00,
Qwen3-32B-Non-Thinking,103.00,,58.25%,0.00%,2.107,320.29,3,0.00,,66.00,,37.00,
Qwen3-4B-Non-Thinking,100.00,,35.48%,33.33%,2.060,15.44,3,100.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,91.00,,55.85%,0.00%,0.547,25.93,3,12.00,,79.00,,0.00,
seed-oss_512,87.00,,52.49%,0.00%,0.533,121.82,3,12.00,,0.00,,75.00,
Mistral-Large-Instruct-2411,59.00,,55.09%,0.00%,0.907,375.12,3,0.00,,7.00,,52.00,
Qwen3-14B-Non-Thinking,59.00,,40.74%,0.00%,1.837,12.89,3,0.00,,7.00,,52.00,
Qwen2.5-Coder-14B-Instruct,59.00,,42.10%,0.00%,1.950,13.60,3,0.00,,7.00,,52.00,
Qwen3-8B-Non-Thinking,44.00,,28.31%,0.00%,1.850,2.24,3,0.00,,7.00,,37.00,
Qwen3-4B,42.00,,47.94%,0.00%,2.007,6.73,3,0.00,,7.00,,35.00,
DeepSeek-Coder-V2-Lite-Instruct,37.00,,14.71%,0.00%,1.900,0.95,3,0.00,,0.00,,37.00,
seed-oss_1024,36.00,,44.22%,0.00%,0.273,48.51,3,29.00,,7.00,,0.00,
Codestral-22B-v0.1,29.00,,39.46%,0.00%,0.310,18.64,3,22.00,,7.00,,0.00,
Llama-3.1-8B-Instruct,24.00,,21.74%,0.00%,0.163,23.45,3,17.00,,7.00,,0.00,
Qwen2.5-Coder-32B-Instruct,7.00,,30.84%,0.00%,1.893,17.62,3,0.00,,7.00,,0.00,
Qwen3-30B-Non-Thinking,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_0,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,1.08%,0.00%,1.857,5.68,3,0.00,,0.00,,0.00,
