Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,animeshops,animeshops_rel,chairgame,chairgame_rel,thinice,thinice_rel
gpt-5,161.00,,75.19%,33.33%,0.467,5.16,3,100.00,,44.00,,17.00,
gemini-2.5-pro,154.00,,70.42%,33.33%,0.860,90.85,3,100.00,,37.00,,17.00,
gpt-oss-120b-high,149.00,,68.81%,33.33%,0.460,6.07,3,100.00,,32.00,,17.00,
gpt-o3-mini-high,139.00,,67.05%,33.33%,0.430,5.19,3,100.00,,39.00,,0.00,
gemini-2.5-flash,137.00,,63.75%,33.33%,0.243,36.34,3,100.00,,37.00,,0.00,
gpt-4.1,125.00,,58.71%,33.33%,0.630,16.65,3,100.00,,8.00,,17.00,
seed-oss_8192,109.00,,53.00%,33.33%,0.043,4.93,3,100.00,,9.00,,0.00,
seed-oss_-1,109.00,,53.00%,33.33%,0.053,4.29,3,100.00,,9.00,,0.00,
gpt-oss-20b-high,109.00,,46.31%,33.33%,0.113,4.90,3,100.00,,9.00,,0.00,
gpt-oss-20b-medium,105.00,,36.25%,33.33%,0.083,5.53,3,100.00,,5.00,,0.00,
gpt-oss-120b-medium,104.00,34.67%,45.58%,33.33%,0.073,4.13,3,100.00,100.00%,4.00,4.00%,0.00,0.00%
gpt-oss-120b-low,104.00,,52.27%,33.33%,0.077,4.40,3,100.00,,4.00,,0.00,
seed-oss_4096,100.00,,33.33%,33.33%,0.030,3.44,3,100.00,,0.00,,0.00,
gpt-oss-20b-low,100.00,,35.85%,33.33%,0.033,4.22,3,100.00,,0.00,,0.00,
seed-oss_16384,100.00,,35.29%,33.33%,0.037,4.92,3,100.00,,0.00,,0.00,
Qwen3-14B,62.00,,53.71%,0.00%,0.793,4.38,3,23.00,,39.00,,0.00,
Qwen3-30B,55.00,,47.81%,0.00%,0.910,4.75,3,23.00,,32.00,,0.00,
DeepSeek-R1-Distill-Llama-70B,43.00,,45.61%,0.00%,0.487,4.28,3,39.00,,4.00,,0.00,
Qwen2.5-72B,35.00,,27.84%,0.00%,0.450,7.54,3,23.00,,0.00,,12.00,
Qwen3-32B,32.00,,39.66%,0.00%,0.413,4.38,3,23.00,,9.00,,0.00,
Llama-4-Scout,23.00,,30.05%,0.00%,0.413,9.45,3,23.00,,0.00,,0.00,
Qwen3-8B,23.00,,27.34%,0.00%,0.427,4.39,3,23.00,,0.00,,0.00,
deepseek-reasoner,17.00,,36.02%,0.00%,0.430,4.25,3,0.00,,17.00,,0.00,
Qwen3-4B,9.00,,18.53%,0.00%,0.443,3.49,3,0.00,,9.00,,0.00,
QwQ-32B,9.00,,31.33%,0.00%,0.463,4.18,3,0.00,,9.00,,0.00,
Qwen2.5-Coder-14B-Instruct,5.00,,12.23%,0.00%,0.147,4.32,3,0.00,,5.00,,0.00,
deepseek-chat,4.00,,24.03%,0.00%,0.053,3.78,3,0.00,,4.00,,0.00,
seed-oss_2048,4.00,,21.52%,0.00%,0.067,3.61,3,0.00,,4.00,,0.00,
seed-oss_512,4.00,,26.35%,0.00%,0.067,8.12,3,0.00,,4.00,,0.00,
DeepSeek-R1-Distill-Qwen-32B,4.00,,22.18%,0.00%,0.157,5.16,3,0.00,,4.00,,0.00,
Qwen3-30B-Non-Thinking,4.00,,18.37%,0.00%,0.417,1.05,3,0.00,,4.00,,0.00,
Llama-3.3-70B-Instruct,4.00,,24.49%,0.00%,0.543,77.59,3,0.00,,4.00,,0.00,
Codestral-22B-v0.1,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-7B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Llama-8B,0.00,,0.00%,0.00%,0.000,0.00,3,0.00,,0.00,,0.00,
seed-oss_0,0.00,,6.21%,0.00%,0.040,3.27,3,0.00,,0.00,,0.00,
seed-oss_1024,0.00,,12.90%,0.00%,0.043,3.87,3,0.00,,0.00,,0.00,
Qwen3-8B-Non-Thinking,0.00,,0.00%,0.00%,0.050,3.27,3,0.00,,0.00,,0.00,
Llama-3.1-8B-Instruct,0.00,,0.65%,0.00%,0.050,0.69,3,0.00,,0.00,,0.00,
Qwen3-32B-Non-Thinking,0.00,,12.90%,0.00%,0.053,3.65,3,0.00,,0.00,,0.00,
Qwen3-4B-Non-Thinking,0.00,,7.34%,0.00%,0.103,3.64,3,0.00,,0.00,,0.00,
Mistral-Small-3.1-24B-2503,0.00,,12.90%,0.00%,0.120,3.70,3,0.00,,0.00,,0.00,
Qwen2.5-Coder-32B-Instruct,0.00,,7.34%,0.00%,0.140,3.27,3,0.00,,0.00,,0.00,
DeepSeek-Coder-V2-Lite-Instruct,0.00,,0.65%,0.00%,0.147,3.53,3,0.00,,0.00,,0.00,
Mistral-Large-Instruct-2411,0.00,,12.34%,0.00%,0.157,94.19,3,0.00,,0.00,,0.00,
DeepSeek-R1-Distill-Qwen-14B,0.00,,8.07%,0.00%,0.420,3.28,3,0.00,,0.00,,0.00,
Qwen3-14B-Non-Thinking,0.00,,5.56%,0.00%,0.480,4.26,3,0.00,,0.00,,0.00,
