Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,Choose_Interval,Choose_Interval_rel,Jump_Civilization,Jump_Civilization_rel,Octagon,Octagon_rel,Ramen,Ramen_rel,Signals,Signals_rel,Skittlez,Skittlez_rel
gpt-5,361.00,,70.44%,50.00%,0.925,22.35,6,100.00,,6.00,,55.00,,0.00,,100.00,,100.00,
gpt-oss-120b-high,230.00,,47.96%,33.33%,0.868,52.30,6,100.00,,11.00,,9.00,,0.00,,10.00,,100.00,
seed-oss_-1,194.00,,48.16%,16.67%,0.852,19.23,6,0.00,,11.00,,55.00,,0.00,,100.00,,28.00,
seed-oss_16384,191.00,,44.42%,16.67%,0.573,18.89,6,52.00,,11.00,,0.00,,0.00,,100.00,,28.00,
gpt-oss-120b-low,191.00,,43.77%,16.67%,0.758,24.31,6,52.00,,11.00,,0.00,,0.00,,100.00,,28.00,
gemini-2.5-flash,189.00,,47.53%,16.67%,0.638,96.84,6,0.00,,6.00,,55.00,,0.00,,100.00,,28.00,
DeepSeek-R1-Distill-Llama-70B,179.00,,40.25%,16.67%,0.388,60.07,6,100.00,,11.00,,0.00,,0.00,,61.00,,7.00,
gpt-o3-mini-high,163.00,,47.60%,0.00%,0.757,66.06,6,86.00,,11.00,,0.00,,0.00,,15.00,,51.00,
gemini-2.5-pro,154.00,,41.05%,16.67%,0.645,30.76,6,0.00,,17.00,,9.00,,0.00,,100.00,,28.00,
gpt-oss-120b-medium,148.00,24.67%,37.45%,16.67%,0.473,20.85,6,0.00,0.00%,11.00,11.00%,9.00,9.00%,0.00,0.00%,100.00,100.00%,28.00,28.00%
seed-oss_8192,139.00,,31.79%,16.67%,0.463,24.54,6,0.00,,11.00,,0.00,,0.00,,100.00,,28.00,
gpt-oss-20b-medium,128.00,,34.46%,20.00%,0.788,24.76,5,N/A,,0.00,,0.00,,0.00,,100.00,,28.00,
seed-oss_4096,128.00,,30.72%,16.67%,0.453,16.60,6,0.00,,0.00,,0.00,,0.00,,100.00,,28.00,
gpt-oss-20b-low,118.00,,38.73%,16.67%,0.465,58.74,6,0.00,,11.00,,0.00,,0.00,,100.00,,7.00,
Mistral-Small-3.1-24B-2503,113.00,,28.61%,16.67%,0.597,54.06,6,0.00,,6.00,,0.00,,0.00,,100.00,,7.00,
Mistral-Large-Instruct-2411,107.00,,26.23%,16.67%,0.115,51.27,6,0.00,,0.00,,0.00,,0.00,,100.00,,7.00,
Qwen2.5-Coder-14B-Instruct,107.00,,22.87%,16.67%,0.167,79.73,6,0.00,,0.00,,0.00,,0.00,,100.00,,7.00,
seed-oss_2048,107.00,,26.88%,16.67%,0.262,64.05,6,0.00,,0.00,,0.00,,0.00,,100.00,,7.00,
deepseek-reasoner,102.00,,31.54%,0.00%,0.370,60.01,6,52.00,,11.00,,9.00,,0.00,,2.00,,28.00,
seed-oss_512,100.00,,16.67%,16.67%,0.033,5.96,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_0,100.00,,17.65%,16.67%,0.047,4.17,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
seed-oss_1024,100.00,,20.95%,16.67%,0.058,7.52,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
Llama-4-Scout,100.00,,24.69%,16.67%,0.062,28.83,6,0.00,,0.00,,0.00,,0.00,,100.00,,0.00,
Qwen3-8B,100.00,,26.22%,0.00%,0.323,60.94,6,0.00,,11.00,,0.00,,0.00,,61.00,,28.00,
Qwen3-32B,78.00,,31.78%,0.00%,0.640,32.94,6,0.00,,11.00,,0.00,,0.00,,39.00,,28.00,
Qwen3-14B,68.00,,24.42%,0.00%,0.487,57.94,6,0.00,,0.00,,0.00,,0.00,,61.00,,7.00,
Llama-3.3-70B-Instruct,57.00,,30.31%,0.00%,0.880,108.24,6,7.00,,6.00,,0.00,,0.00,,37.00,,7.00,
