Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Air_Cownditioning_II,bronze_Air_Cownditioning_II_rel,bronze_Leaders,bronze_Leaders_rel,bronze_Moo_Operations,bronze_Moo_Operations_rel,gold_Find_and_Replace,gold_Find_and_Replace_rel,gold_Lights_Off,gold_Lights_Off_rel,gold_Moo_Route,gold_Moo_Route_rel,platinum_Mana_Collection,platinum_Mana_Collection_rel,platinum_Subtree_Activation,platinum_Subtree_Activation_rel,platinum_Tractor_Paths,platinum_Tractor_Paths_rel,silver_Find_and_Replace,silver_Find_and_Replace_rel,silver_Following_Directions,silver_Following_Directions_rel,silver_Moo_Route,silver_Moo_Route_rel
gpt-5,2853.00,,73.27%,66.67%,0.134,20.15,12,333.00,,333.00,,333.00,,333.00,,333.00,,33.00,,333.00,,100.00,,333.00,,0.00,,333.00,,56.00,
gemini-2.5-pro,2626.00,,68.14%,58.33%,0.866,62.04,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,106.00,,0.00,,133.00,,0.00,,333.00,,56.00,
gpt-o3-mini-high,2540.00,,66.11%,58.33%,0.373,54.11,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,136.00,,17.00,,0.00,,0.00,,333.00,,56.00,
gpt-oss-120b-medium,2530.00,64.63%,65.26%,58.33%,0.437,20.67,12,333.00,100.91%,333.00,100.91%,333.00,100.91%,143.00,44.41%,333.00,102.78%,333.00,104.06%,333.00,100.91%,0.00,0.00%,0.00,0.00%,0.00,0.00%,333.00,103.42%,56.00,17.28%
gpt-oss-20b-high,2387.00,,73.64%,70.00%,0.173,23.63,10,333.00,,333.00,,333.00,,333.00,,333.00,,N/A,,333.00,,0.00,,N/A,,0.00,,333.00,,56.00,
gemini-2.5-flash,2108.00,,55.81%,41.67%,2.019,36.05,12,333.00,,333.00,,333.00,,143.00,,204.00,,333.00,,0.00,,33.00,,44.00,,0.00,,333.00,,19.00,
seed-oss_-1,1958.00,,52.09%,41.67%,1.267,12.53,12,333.00,,333.00,,333.00,,143.00,,333.00,,33.00,,0.00,,17.00,,44.00,,0.00,,333.00,,56.00,
gpt-oss-20b-medium,1598.00,,43.53%,33.33%,0.262,13.20,12,333.00,,333.00,,333.00,,143.00,,0.00,,67.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
gpt-oss-20b-low,1568.00,,40.54%,33.33%,0.827,36.42,12,333.00,,333.00,,333.00,,143.00,,37.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
deepseek-reasoner,1568.00,,42.36%,33.33%,0.908,30.02,12,333.00,,333.00,,333.00,,143.00,,37.00,,0.00,,0.00,,0.00,,0.00,,0.00,,333.00,,56.00,
