Model,Total Score,Avg Relative Score,Avg Tests Passed,Pass Rate,Avg Time,Avg Memory,Problem Count,bronze_Farmer_Johns_Favorite_Permutation,bronze_Farmer_Johns_Favorite_Permutation_rel,bronze_Logical_Moos,bronze_Logical_Moos_rel,bronze_Walking_Along_a_Fence,bronze_Walking_Along_a_Fence_rel,gold_Cowreography,gold_Cowreography_rel,gold_Grass_Segments,gold_Grass_Segments_rel,gold_Smaller_Averages,gold_Smaller_Averages_rel,platinum_Activating_Robots,platinum_Activating_Robots_rel,platinum_Identity_Theft,platinum_Identity_Theft_rel,platinum_Splitting_Haybales,platinum_Splitting_Haybales_rel,silver_Bessies_Interview,silver_Bessies_Interview_rel,silver_Painting_Fence_Posts,silver_Painting_Fence_Posts_rel,silver_The_Winning_Gene,silver_The_Winning_Gene_rel
gpt-5,3214.00,,83.30%,75.00%,0.416,19.18,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,133.00,,67.00,,17.00,,333.00,,333.00,,333.00,
gpt-oss-120b-high,3048.00,,77.79%,66.67%,0.477,47.49,12,333.00,,333.00,,333.00,,333.00,,333.00,,333.00,,317.00,,50.00,,17.00,,333.00,,0.00,,333.00,
gpt-o3-mini-high,2669.00,,70.74%,50.00%,0.715,53.15,12,167.00,,333.00,,333.00,,333.00,,333.00,,271.00,,133.00,,67.00,,0.00,,33.00,,333.00,,333.00,
gpt-oss-20b-high,2352.00,,66.65%,54.55%,0.585,11.97,11,333.00,,333.00,,333.00,,N/A,,333.00,,271.00,,33.00,,0.00,,17.00,,33.00,,333.00,,333.00,
gemini-2.5-pro,2203.00,,59.85%,41.67%,0.604,36.67,12,0.00,,333.00,,333.00,,100.00,,333.00,,271.00,,133.00,,17.00,,17.00,,333.00,,0.00,,333.00,
gpt-oss-120b-medium,2185.00,56.49%,58.28%,41.67%,0.530,33.99,12,0.00,0.00%,333.00,106.73%,333.00,100.91%,100.00,31.25%,333.00,103.10%,271.00,84.69%,33.00,10.31%,33.00,10.31%,0.00,0.00%,333.00,104.06%,83.00,25.62%,333.00,100.91%
seed-oss_-1,2065.00,,54.87%,41.67%,0.445,12.92,12,0.00,,333.00,,333.00,,100.00,,333.00,,333.00,,200.00,,50.00,,17.00,,33.00,,0.00,,333.00,
gemini-2.5-flash,2063.00,,55.70%,33.33%,0.907,100.79,12,333.00,,333.00,,333.00,,133.00,,333.00,,104.00,,200.00,,50.00,,67.00,,133.00,,0.00,,44.00,
gpt-oss-20b-medium,1781.00,,46.59%,33.33%,0.315,14.77,12,0.00,,333.00,,333.00,,100.00,,333.00,,0.00,,200.00,,33.00,,0.00,,33.00,,83.00,,333.00,
seed-oss_16384,1659.00,,45.35%,25.00%,0.684,47.63,12,0.00,,333.00,,333.00,,100.00,,333.00,,271.00,,133.00,,17.00,,17.00,,33.00,,0.00,,89.00,
