competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,deepseek-reasoner,27654,43.32%,0.54,30.97,23.90%
APIO-2023,deepseek-reasoner,97,30.39%,1.13,37.18,0.00%
APIO-2024,deepseek-reasoner,0,0.00%,0.00,0.00,0.00%
BOI-2023,deepseek-reasoner,60,49.95%,0.40,1.02,0.00%
BOI-2024,deepseek-reasoner,113,40.39%,0.40,8.78,0.00%
BOI-2025,deepseek-reasoner,100,24.36%,0.54,37.02,16.67%
CCO-2023,deepseek-reasoner,15,100.00%,0.02,0.00,100.00%
CCO-2024,deepseek-reasoner,15,100.00%,0.00,0.00,100.00%
CEOI-2023,deepseek-reasoner,10,5.97%,1.31,4.03,0.00%
CEOI-2024,deepseek-reasoner,30,42.07%,0.63,61.51,0.00%
COCI-2023,deepseek-reasoner,1375,65.40%,0.28,10.54,56.00%
COCI-2024,deepseek-reasoner,1114,60.94%,0.40,12.60,52.00%
COCI-2025,deepseek-reasoner,871,55.12%,0.41,17.47,36.00%
EGOI-2023,deepseek-reasoner,334,45.26%,0.46,5.02,37.50%
EGOI-2024,deepseek-reasoner,171,36.01%,0.05,6.53,12.50%
EJOI-2023,deepseek-reasoner,107,22.75%,0.46,402.03,0.00%
EJOI-2024,deepseek-reasoner,171,43.19%,0.69,39.15,16.67%
IATI-2024,deepseek-reasoner,285,29.86%,0.22,58.27,18.18%
IOI-2023,deepseek-reasoner,13,9.81%,0.34,12.88,0.00%
IOI-2024,deepseek-reasoner,120,44.63%,1.79,13.32,0.00%
JOI-2023,deepseek-reasoner,433,43.81%,1.06,10.49,10.00%
JOI-2024,deepseek-reasoner,0,0.00%,0.00,0.00,0.00%
JOI-2025,deepseek-reasoner,103,31.15%,0.07,9.25,20.00%
NOINordic-2023,deepseek-reasoner,300,100.00%,0.35,48.48,100.00%
NOINordic-2024,deepseek-reasoner,17,36.02%,0.43,4.25,0.00%
NOINordic-2025,deepseek-reasoner,122,50.65%,1.66,14.47,33.33%
OOI-2023,deepseek-reasoner,667,51.29%,0.34,23.17,17.65%
OOI-2024,deepseek-reasoner,792,57.42%,0.75,21.88,29.41%
RMI-2023,deepseek-reasoner,68,32.08%,0.85,15.02,0.00%
RMI-2024,deepseek-reasoner,102,31.54%,0.37,60.01,0.00%
USACO-2023,deepseek-reasoner,8134,54.75%,0.94,19.51,41.67%
USACO-2024,deepseek-reasoner,6892,46.53%,0.55,22.58,31.25%
USACO-2025,deepseek-reasoner,5023,44.91%,0.50,14.66,36.11%
