competition_year,ACCEPTED,WRONG_ANSWER,TIME_LIMIT_EXCEEDED,MEMORY_LIMIT_EXCEEDED,COMPILATION_ERROR,RUNTIME_ERROR,UNKNOWN,empty solutions
ALL_COMPETITIONS,6691,3876,6477,977,2203,15091,662,219
APIO-2023,0,0,10,0,0,14,0,0
APIO-2024,0,0,0,0,0,0,0,0
BOI-2023,0,0,8,0,3,37,0,0
BOI-2024,0,0,9,0,5,34,0,0
BOI-2025,1,0,17,0,1,29,0,0
CCO-2023,0,0,0,0,0,0,0,0
CCO-2024,0,0,0,0,0,0,0,0
CEOI-2023,0,0,10,2,8,28,0,0
CEOI-2024,0,0,5,1,12,29,1,0
COCI-2023,74,0,17,4,12,81,5,7
COCI-2024,83,7,26,5,6,73,0,0
COCI-2025,68,1,19,2,6,88,16,0
EGOI-2023,21,0,7,0,1,27,8,0
EGOI-2024,1,0,5,2,2,46,8,0
EJOI-2023,0,0,24,2,11,10,1,0
EJOI-2024,8,0,10,3,9,18,0,0
IATI-2024,10,8,21,3,3,39,1,3
IOI-2023,0,0,3,0,15,30,0,0
IOI-2024,0,0,10,0,8,29,0,0
JOI-2023,8,0,33,4,16,96,1,2
JOI-2024,0,0,0,0,0,0,0,0
JOI-2025,8,0,7,1,2,22,0,0
NOINordic-2023,17,0,3,0,0,4,0,0
NOINordic-2024,0,0,5,0,2,17,0,0
NOINordic-2025,2,0,6,0,3,13,0,0
OOI-2023,14,0,29,8,0,78,7,0
OOI-2024,21,0,29,2,0,77,7,0
RMI-2023,0,0,14,0,5,28,1,0
RMI-2024,0,0,4,2,8,33,0,1
USACO-2023,112,107,71,16,13,65,0,0
USACO-2024,56,119,80,15,18,96,0,0
USACO-2025,52,83,49,13,6,85,0,0
