problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6
s1,ACCEPTED,15,100.00%,0.100,5.109375,,2,1,2,5,5,0,0
s2,ACCEPTED,15,100.00%,0.020,0.00390625,,5,5,2,3,0,0,0
s3,RUNTIME_ERROR,2,15.71%,0.050,3.61328125,,2,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,2.00%,0.040,5.1640625,,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,18.58%,1.160,12.28515625,,0,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,1.390,91.16015625,,5,5,7,8,0,0,0
d1p2,ACCEPTED,25,100.00%,2.880,241.71484375,,3,4,5,6,7,0,0
d1p3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,0,0.00%,0.030,0.00390625,,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,12.29%,4.430,31.9765625,,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,3,17.24%,4.410,983.30078125,,3,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.030,0.00390625,,15,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.040,0.00390625,,6,7,2,0,0,0,0
j4,ACCEPTED,15,100.00%,0.030,2.4921875,,3,3,5,4,0,0,0
j5,ACCEPTED,15,100.00%,0.030,1.5546875,,1,4,5,5,0,0,0
TOTAL,,160,60.36%,,,56.25%,,,,,,,
