problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2024-open-t1_Examination_2,TIME_LIMIT_EXCEEDED,20,61.47%,2.220,50.0546875,,0,20,0,0,0,0,0,0
2024-open-t2_Heat_Stroke,RUNTIME_ERROR,0,20.85%,0.040,3.09765625,,0,0,0,0,0,0,0,0
2024-open-t3_Library_3,RUNTIME_ERROR,0,18.37%,0.040,1.4765625,,0,0,0,0,0,0,0,0
2024-sp_Fish_3,TIME_LIMIT_EXCEEDED,9,37.93%,2.420,47.1015625,,9,0,0,0,0,0,0,0
2024-sp_Ski_2,TIME_LIMIT_EXCEEDED,0,1.69%,2.220,6.24609375,,0,0,0,0,0,0,0,0
2024-sp_Spy_3,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Board_Game,RUNTIME_ERROR,3,8.07%,0.070,7.22265625,,3,0,0,0,0,0,0,0
2024-sp_Tricolor_Lights,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Growing_Vegetables_is_Fun_5,TIME_LIMIT_EXCEEDED,30,76.69%,5.980,42.54296875,,4,5,21,0,0,0,0,0
2024-sp_Card_Collection,TIME_LIMIT_EXCEEDED,11,70.38%,4.800,180.21484375,,11,0,0,0,0,0,0,0
2024-sp_JOI_Tour,TIME_LIMIT_EXCEEDED,52,55.41%,3.600,36.53125,,6,8,6,16,16,0,0,0
2024-sp_Tower,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-sp_Escape_Route_2,TIME_LIMIT_EXCEEDED,14,51.28%,2.230,26.9609375,,6,8,0,0,0,0,0,0
2024-sp_Island_Hopping,RUNTIME_ERROR,4,6.90%,0.020,1.5390625,,0,4,0,0,0,0,0,0
2024-sp_Table_Tennis,TIME_LIMIT_EXCEEDED,62,85.15%,1.160,96.9453125,,5,4,23,30,0,0,0,0
2024-ho-t1_Room_Temperature,TIME_LIMIT_EXCEEDED,85,92.04%,2.220,96.68359375,,15,5,30,35,0,0,0,0
2024-ho-t2_Construction_Project_2,ACCEPTED,100,100.00%,0.290,39.87890625,,8,16,29,47,0,0,0,0
2024-ho-t3_Marathon_Race_2,TIME_LIMIT_EXCEEDED,52,87.97%,1.660,214.765625,,7,7,10,28,0,0,0,0
2024-ho-t4_Gift_Exchange,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2024-ho-t5_Road_Service_2,RUNTIME_ERROR,0,0.00%,0.240,78.67578125,,0,0,0,0,0,0,0,0
TOTAL,,442,38.71%,,,5.00%,,,,,,,,
