problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,0.040,2.84765625,,3,3,5,4,0,0,0,0
s2,ACCEPTED,15,100.00%,0.040,0.00390625,,5,5,5,0,0,0,0,0
s3,RUNTIME_ERROR,2,13.10%,0.020,0.00390625,,2,0,0,0,0,0,0,0
s4,ACCEPTED,15,100.00%,0.160,1.578125,,3,6,6,0,0,0,0,0
s5,RUNTIME_ERROR,7,59.38%,0.130,25.26953125,,3,4,0,0,0,0,0,0
d1p1,ACCEPTED,25,100.00%,0.100,10.328125,,3,3,4,4,4,7,0,0
d1p2,MEMORY_LIMIT_EXCEEDED,0,1.90%,1.480,1111.17578125,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.150,12.90234375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,29.46%,0.020,1.60546875,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,0,7.81%,2.230,1120.9765625,,0,0,0,0,0,0,0,0
d2p3,RUNTIME_ERROR,0,52.83%,0.200,10.89453125,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,0.050,2.84765625,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,0.000,0,,2,2,2,9,0,0,0,0
TOTAL,,155,66.83%,,,56.25%,,,,,,,,
