problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7
s1j4,ACCEPTED,15,100.00%,0.050,3.015625,,3,3,5,4,0,0,0,0
s2,TIME_LIMIT_EXCEEDED,5,38.71%,1.120,0.00390625,,5,0,0,0,0,0,0,0
s3,RUNTIME_ERROR,0,10.71%,0.040,5.1640625,,0,0,0,0,0,0,0,0
s4,RUNTIME_ERROR,0,1.47%,0.070,1.80859375,,0,0,0,0,0,0,0,0
s5,TIME_LIMIT_EXCEEDED,0,1.56%,1.660,5.4140625,,0,0,0,0,0,0,0,0
d1p1,TIME_LIMIT_EXCEEDED,10,47.14%,1.110,9.03125,,3,3,4,0,0,0,0,0
d1p2,TIME_LIMIT_EXCEEDED,0,1.90%,5.510,24.24609375,,0,0,0,0,0,0,0,0
d1p3,RUNTIME_ERROR,0,4.81%,0.490,75.9375,,0,0,0,0,0,0,0,0
d2p1,RUNTIME_ERROR,1,29.46%,0.040,1.67578125,,1,0,0,0,0,0,0,0
d2p2,TIME_LIMIT_EXCEEDED,2,9.38%,2.210,54.703125,,2,0,0,0,0,0,0,0
d2p3,TIME_LIMIT_EXCEEDED,0,3.77%,1.110,15.46875,,0,0,0,0,0,0,0,0
j1,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j2,ACCEPTED,15,100.00%,0.000,0,,15,0,0,0,0,0,0,0
j3,ACCEPTED,15,100.00%,0.000,0,,6,6,3,0,0,0,0,0
s1j4,ACCEPTED,15,100.00%,0.050,3.01953125,,3,3,5,4,0,0,0,0
j5,ACCEPTED,15,100.00%,0.040,0.00390625,,2,2,2,9,0,0,0,0
TOTAL,,108,46.81%,,,37.50%,,,,,,,,
