problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_13,subtask_14,subtask_15,subtask_16,subtask_17,subtask_18,subtask_19,subtask_2,subtask_20,subtask_21,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
More_Gifts,TIME_LIMIT_EXCEEDED,30,63.83%,1.120,1.58984375,,0.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0,0,0,0,0
Big_Persimmon,TIME_LIMIT_EXCEEDED,56,70.83%,2.210,299.38671875,,0.0,10.0,0,0,0,0,0,0,0,0,0,0,12.0,0,0,19.0,15.0,0,0,0,0,0
Evidence_Board,RUNTIME_ERROR,7,8.09%,0.450,198.3984375,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0
Draw_Polygon_Lines,MEMORY_LIMIT_EXCEEDED,36,55.60%,0.630,561.82421875,,0,0,4.0,3.0,3.0,3.0,3.0,2.0,0,3.0,0,0,0,0,0,0,0,0,0,7.0,4.0,4.0
Burenka_and_Pether,TIME_LIMIT_EXCEEDED,0,0.00%,3.310,6.96875,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Almost_Certainly,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three_Arrays,TIME_LIMIT_EXCEEDED,61,83.67%,1.110,2.4921875,,0.0,13.0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,14.0,16.0,0,0,0,0,0
Parallel_Universes,RUNTIME_ERROR,11,10.14%,0.090,1.66015625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0,0,0,0
Paired_roads,RUNTIME_ERROR,0,12.60%,0.150,30.25,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legs_warm-up_exercise,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hard_problem,ACCEPTED,100,100.00%,0.170,10.8828125,,0.0,13.0,0,0,0,0,0,0,0,0,0,0,10.0,0,0,14.0,19.0,9.0,1.0,9.0,25.0,0
Yet_another_queries,TIME_LIMIT_EXCEEDED,19,33.33%,1.660,73.671875,,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lunch,RUNTIME_ERROR,16,26.80%,0.020,1.921875,,0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tournament,RUNTIME_ERROR,80,97.15%,0.000,0,,0.0,14.0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,12.0,9.0,10.0,9.0,8.0,10.0
You_need_to_train_more,RUNTIME_ERROR,74,80.77%,0.440,4.390625,,0.0,18.0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,16.0,21.0,0,0,0,0,0
Colorful_graph,MEMORY_LIMIT_EXCEEDED,0,14.38%,0.190,249.59765625,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Space_accident,RUNTIME_ERROR,49,74.23%,0.100,2.07421875,,0.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,0,24.0,0,0,0,0
TOTAL,,539,43.03%,,,5.88%,,,,,,,,,,,,,,,,,,,,,,
