problem,status,score,%test passed,time,memory,pass_rate,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8
2023-open-t1_Ancient_Machine_2,RUNTIME_ERROR,0,0.00%,0.080,3.26953125,,0,0,0,0,0,0,0,0
2023-open-t2_Cell_Automaton,TIME_LIMIT_EXCEEDED,49,92.40%,7.260,40.33203125,,4,12,8,8,17,0,0,0
2023-open-t3_Garden,ACCEPTED,100,100.00%,0.610,26.24609375,,15,6,8,16,30,25,0,0
2023-sp_Two_Currencies,ACCEPTED,100,100.00%,0.450,65.7890625,,10,28,30,32,0,0,0,0
2023-sp_Festivals_in_JOI_Kingdom_2,RUNTIME_ERROR,10,71.91%,0.410,1.55078125,,5,5,0,0,0,0,0,0
2023-sp_Passport,RUNTIME_ERROR,6,62.35%,0.160,31.9921875,,6,0,0,0,0,0,0,0
2023-sp_Belt_Conveyor,RUNTIME_ERROR,25,61.76%,0.860,14.5546875,,1,14,10,0,0,0,0,0
2023-sp_Council,ACCEPTED,100,100.00%,0.430,32.4921875,,8,8,6,19,15,22,22,0
2023-sp_Mizuyokan_2,RUNTIME_ERROR,0,0.00%,0.120,22.94921875,,0,0,0,0,0,0,0,0
2023-sp_Chorus,RUNTIME_ERROR,0,27.47%,0.120,0,,0,0,0,0,0,0,0,0
2023-sp_Cookies,RUNTIME_ERROR,0,18.92%,0.020,0,,0,0,0,0,0,0,0,0
2023-sp_Tourism,ACCEPTED,100,100.00%,4.160,33.16015625,,5,5,7,18,24,41,0,0
2023-sp_Super_Dango_Maker,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0
2023-sp_Security_Guard,RUNTIME_ERROR,50,78.68%,0.270,31.515625,,12,13,12,13,0,0,0,0
2023-sp_Bitaro’s_travel,ACCEPTED,100,100.00%,0.230,24.234375,,5,10,30,55,0,0,0,0
2023-ho-t1_Stone_Arranging_2,ACCEPTED,100,100.00%,0.050,16.765625,,25,35,40,0,0,0,0,0
2023-ho-t2_Advertisement_2,ACCEPTED,100,100.00%,0.200,9.03125,,10,23,36,31,0,0,0,0
2023-ho-t3_Maze,RUNTIME_ERROR,8,43.10%,0.140,9.28125,,8,0,0,0,0,0,0,0
2023-ho-t4_Cat_Exercise,ACCEPTED,100,100.00%,0.160,31.859375,,7,7,7,10,20,23,26,0
2023-ho-t5_Modern_Machine,TIME_LIMIT_EXCEEDED,3,45.36%,2.920,2.84375,,3,0,0,0,0,0,0,0
TOTAL,,951,65.10%,,,40.00%,,,,,,,,
