problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,0,13.16%,0.000,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,0.090,7.6875,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,13.04%,0.040,2.8984375,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,0.410,13.96484375,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,15,49.61%,0.180,21.40625,,0.0,0,0,0,0,0,9.0,0,6.0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,4,47.69%,4.420,9.2421875,,0.0,4.0,0,0,0,0,0,0,0,0,0,0,0
Best_Runner,ACCEPTED,100,100.00%,0.090,6.97265625,,0.0,23.0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,0.040,1.5546875,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,TIME_LIMIT_EXCEEDED,48,84.94%,7.710,19.55859375,,0.0,10.0,0,0,0,8.0,11.0,0,0,11.0,8.0,0,0
Road_Lighting,RUNTIME_ERROR,13,22.68%,0.090,27.64453125,,0.0,0,0,0,0,13.0,0,0,0,0,0,0,0
Repainting_the_Table,TIME_LIMIT_EXCEEDED,72,86.84%,1.660,40.42578125,,0.0,17.0,0,0,0,21.0,34.0,0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,0.530,68.58203125,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,0.670,285.14453125,,0.0,8.0,11.0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,0.340,21.890625,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,TIME_LIMIT_EXCEEDED,36,77.45%,2.210,17.0234375,,0.0,8.0,0,0,0,7.0,9.0,12.0,0,0,0,0,0
Ultrafast_train,ACCEPTED,100,100.00%,0.090,10.0,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,992,70.32%,,,47.06%,,,,,,,,,,,,,
