problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5
autobus,ACCEPTED,50,100.00%,0.020,0,,9,19,22,0,0,0
karte,ACCEPTED,70,100.00%,0.030,0,,18,11,24,17,0,0
bojanje,RUNTIME_ERROR,0,5.80%,0.020,0.00390625,,0,0,0,0,0,0
stablo,ACCEPTED,120,100.00%,0.510,58.59375,,21,37,22,40,0,0
procesor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
wow,ACCEPTED,50,100.00%,0.000,0,,21,13,16,0,0,0
zid,ACCEPTED,70,100.00%,0.150,1.5546875,,17,21,32,0,0,0
tornjevi,ACCEPTED,90,100.00%,0.290,12.8984375,,7,11,17,29,26,0
crtez,MEMORY_LIMIT_EXCEEDED,75,72.34%,0.420,321.8671875,,20,55,0,0,0,0
stablo,ACCEPTED,120,100.00%,1.540,135.9140625,,15,15,45,45,0,0
sah,ACCEPTED,50,100.00%,0.040,0.00390625,,13,19,18,0,0,0
benzinska,ACCEPTED,70,100.00%,0.060,9.23828125,,15,30,25,0,0,0
xor,UNKNOWN,0,0.00%,0.000,0,,0,0,0,0,0,0
cipele,ACCEPTED,120,100.00%,0.160,27.28125,,17,27,37,24,15,0
tura,ACCEPTED,120,100.00%,0.040,3.953125,,11,41,68,0,0,0
paradoks,ACCEPTED,50,100.00%,0.000,0,,10,10,30,0,0,0
igre,ACCEPTED,70,100.00%,0.050,1.55859375,,6,13,23,28,0,0
razlicitost,ACCEPTED,90,100.00%,0.220,12.125,,25,13,9,43,0,0
blistavost,ACCEPTED,120,100.00%,0.030,1.55078125,,20,25,55,20,0,0
trokuti,RUNTIME_ERROR,13,25.96%,0.040,4.125,,13,0,0,0,0,0
osobna,ACCEPTED,50,100.00%,0.000,0,,25,15,10,0,0,0
skokovi,ACCEPTED,70,100.00%,0.100,12.8984375,,20,25,25,0,0,0
hijerarhija,ACCEPTED,90,100.00%,0.190,20.625,,7,12,16,15,23,17
uciteljica,RUNTIME_ERROR,35,32.79%,0.080,16.5390625,,0,0,35,0,0,0
zbunjenost,ACCEPTED,120,100.00%,0.130,47.7109375,,13,18,34,15,40,0
TOTAL,,1713,81.48%,,,76.00%,,,,,,
