problem,status,score,relative_score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_10,subtask_11,subtask_12,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
Dreaming_is_not_harmful,RUNTIME_ERROR,10,10.00%,12.73%,0.110,28.99609375,,0,10.0,0,0,0,0,0,0,0,0,0,0,0
Cute_Subsequences,ACCEPTED,100,100.00%,100.00%,0.090,8.203125,,0.0,14.0,0,0,0,19.0,17.0,21.0,15.0,14.0,0,0,0
The_arithmetic_exercise,RUNTIME_ERROR,4,4.00%,15.05%,0.050,3.671875,,0,4.0,0,0,0,0,0,0,0,0,0,0,0
Alice_Bob_and_two_arrays,ACCEPTED,100,100.00%,100.00%,0.290,16.24609375,,0.0,13.0,10.0,7.0,0,12.0,11.0,8.0,10.0,7.0,6.0,7.0,9.0
Card_Flip,RUNTIME_ERROR,15,15.00%,49.61%,0.180,14.703125,,0.0,0,0,0,0,0,9.0,0,6.0,0,0,0,0
Order_Statistics,TIME_LIMIT_EXCEEDED,46,46.00%,82.02%,4.810,15.2109375,,0.0,4.0,0,0,0,5.0,0,0,11.0,9.0,10.0,7.0,0
Best_Runner,ACCEPTED,100,100.00%,100.00%,0.070,9.03515625,,0.0,23.0,0,0,0,10.0,16.0,19.0,11.0,21.0,0,0,0
Strong_Connectivity_Strikes_Back,ACCEPTED,100,100.00%,100.00%,0.050,2.89453125,,0.0,11.0,0,0,0,9.0,12.0,13.0,20.0,21.0,14.0,0,0
Colorful_Diameter,RUNTIME_ERROR,33,33.00%,46.50%,1.530,12.86328125,,0,0,0,0,0,0,0,14.0,0,11.0,8.0,0,0
Road_Lighting,TIME_LIMIT_EXCEEDED,24,24.00%,63.16%,2.410,13.65625,,0.0,14.0,0,0,0,0,10.0,0,0,0,0,0,0
Repainting_the_Table,ACCEPTED,100,100.00%,100.00%,0.550,55.63671875,,0.0,17.0,0,0,0,21.0,34.0,28.0,0,0,0,0,0
Distinctive_Features,ACCEPTED,100,100.00%,100.00%,0.410,73.73828125,,0.0,10.0,0,0,0,7.0,13.0,19.0,7.0,10.0,12.0,7.0,15.0
Classic_Tree_Problem,UNKNOWN,0,0.00%,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien_Homophones,ACCEPTED,100,100.00%,100.00%,0.140,2.82421875,,0.0,8.0,11.0,0,0,7.0,9.0,15.0,8.0,6.0,7.0,10.0,19.0
Stone_Enthusiast,ACCEPTED,100,100.00%,100.00%,0.220,21.79296875,,0.0,16.0,0,0,0,14.0,12.0,16.0,11.0,17.0,14.0,0,0
Egors_Gaming_Addiction,ACCEPTED,100,100.00%,100.00%,0.340,166.89453125,,0.0,8.0,0,0,0,7.0,9.0,12.0,19.0,10.0,14.0,21.0,0
Ultrafast_train,ACCEPTED,100,100.00%,100.00%,0.070,11.18359375,,0.0,17.0,0,0,0,13.0,12.0,26.0,32.0,0,0,0,0
TOTAL,,1132,,74.65%,,,58.82%,,,,,,,,,,,,,
