problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.090,9.03125,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.050,3.62109375,,21,18,31,40,0
cesta,ACCEPTED,110,100.00%,0.770,115.80078125,,10,30,30,40,0
zlagalica,ACCEPTED,50,100.00%,0.000,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.070,1.8125,,20,40,50,0,0
rolete,ACCEPTED,110,100.00%,0.270,3.6171875,,16,26,32,36,0
trokut,RUNTIME_ERROR,13,12.50%,0.020,0.00390625,,13,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.030,4.39453125,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,ACCEPTED,110,100.00%,1.170,305.56640625,,10,20,35,45,0
roboti,TIME_LIMIT_EXCEEDED,23,54.55%,2.430,18.30859375,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.040,6.1953125,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.030,10.9453125,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.030,17.2890625,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.120,9.2890625,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.020,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,0.620,100.4921875,,12,17,25,56,0
TOTAL,,1446,80.50%,,,77.27%,,,,,
