Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-flash,365.0,5,365.0,86.56,80.0,Gold,4,98.32402234636872,1,73.0
gpt-o3-mini-high,365.0,5,365.0,86.56,80.0,Gold,4,98.32402234636872,2,73.0
gemini-2.5-pro,365.0,5,365.0,86.56,80.0,Gold,4,98.32402234636872,3,73.0
Qwen3-32B,275.0,5,275.0,75.85,60.0,Silver,27,85.47486033519553,4,55.0
deepseek-reasoner,225.0,5,225.0,67.1,60.0,Bronze,64,64.80446927374301,5,45.0
QwQ-32B,225.0,5,225.0,67.43,60.0,Bronze,64,64.80446927374301,6,45.0
Qwen3-14B,225.0,5,225.0,69.73,60.0,Bronze,64,64.80446927374301,7,45.0
gpt-4.1,223.0,5,223.0,68.4,60.0,Bronze,67,63.12849162011173,8,44.6
Qwen3-8B,210.0,5,210.0,61.3,60.0,Bronze,67,63.12849162011173,9,42.0
DeepSeek-R1-Distill-Llama-70B,210.0,5,210.0,60.97,60.0,Bronze,67,63.12849162011173,10,42.0
deepseek-chat,210.0,5,210.0,60.97,60.0,Bronze,67,63.12849162011173,11,42.0
Qwen3-4B,210.0,5,210.0,61.63,60.0,Bronze,67,63.12849162011173,12,42.0
DeepSeek-R1-Distill-Qwen-32B,202.0,5,202.0,64.1,40.0,None,97,46.36871508379888,13,40.4
Qwen3-30B,175.0,5,175.0,49.07,40.0,None,102,43.57541899441341,14,35.0
DeepSeek-R1-Distill-Qwen-14B,160.0,5,160.0,44.52,40.0,None,108,40.22346368715084,15,32.0
Qwen3-30B-Non-Thinking,135.0,5,135.0,47.76,40.0,None,119,34.07821229050279,16,27.0
Qwen2.5-72B,120.0,5,120.0,40.33,40.0,None,120,33.5195530726257,17,24.0
Qwen3-32B-Non-Thinking,92.0,5,92.0,38.89,20.0,None,145,19.553072625698324,18,18.4
Qwen3-14B-Non-Thinking,92.0,5,92.0,29.31,20.0,None,145,19.553072625698324,19,18.4
DeepSeek-Coder-V2-Lite-Instruct,75.0,5,75.0,21.86,0.0,None,151,16.201117318435752,20,15.0
Mistral-Large-Instruct-2411,70.0,5,70.0,26.96,20.0,None,158,12.29050279329609,21,14.0
Qwen3-8B-Non-Thinking,57.0,5,57.0,25.35,0.0,None,165,8.379888268156424,22,11.4
Llama-3.1-8B-Instruct,45.0,5,45.0,17.18,0.0,None,170,5.58659217877095,23,9.0
Llama-3.3-70B-Instruct,38.0,5,38.0,24.24,0.0,None,172,4.4692737430167595,24,7.6
Qwen3-4B-Non-Thinking,25.0,5,25.0,10.27,0.0,None,174,3.35195530726257,25,5.0
Qwen2.5-Coder-14B-Instruct,25.0,5,25.0,13.29,0.0,None,174,3.35195530726257,26,5.0
Codestral-22B-v0.1,25.0,5,25.0,11.07,0.0,None,174,3.35195530726257,27,5.0
Mistral-Small-3.1-24B-2503,25.0,5,25.0,9.73,0.0,None,174,3.35195530726257,28,5.0
DeepSeek-R1-Distill-Llama-8B,22.0,5,22.0,6.11,0.0,None,176,2.2346368715083798,29,4.4
Qwen2.5-Coder-7B-Instruct,20.0,5,20.0,10.23,0.0,None,176,2.2346368715083798,30,4.0
Qwen2.5-Coder-32B-Instruct,20.0,5,20.0,15.56,0.0,None,176,2.2346368715083798,31,4.0
