Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gpt-o3-mini-high,284.0,5,284.0,76.14,40.0,Bronze,82,70.11070110701107,1,56.8
gemini-2.5-flash,256.0,5,256.0,67.48,40.0,Bronze,100,63.46863468634686,2,51.2
gemini-2.5-pro,256.0,5,256.0,67.92,40.0,Bronze,100,63.46863468634686,3,51.2
gpt-4.1,160.0,5,160.0,43.87,20.0,None,215,21.03321033210332,4,32.0
DeepSeek-R1-Distill-Llama-70B,128.0,5,128.0,40.59,20.0,None,224,17.71217712177122,5,25.6
deepseek-reasoner,103.0,5,103.0,31.15,20.0,None,232,14.760147601476016,6,20.6
Qwen3-4B-Non-Thinking,56.0,5,56.0,26.13,0.0,None,254,6.642066420664206,7,11.2
Qwen3-32B-Non-Thinking,56.0,5,56.0,26.13,0.0,None,254,6.642066420664206,8,11.2
Qwen3-30B-Non-Thinking,31.0,5,31.0,21.21,0.0,None,262,3.690036900369004,9,6.2
Mistral-Large-Instruct-2411,28.0,5,28.0,23.22,0.0,None,262,3.690036900369004,10,5.6
Qwen3-8B-Non-Thinking,28.0,5,28.0,22.02,0.0,None,262,3.690036900369004,11,5.6
Qwen2.5-Coder-7B-Instruct,15.0,5,15.0,10.86,0.0,None,271,0.36900369003690037,12,3.0
Qwen3-14B-Non-Thinking,0.0,5,0.0,3.6,0.0,None,272,0.0,13,0.0
