Model,Total Score,Included Tasks,Included Score,Avg Tests Passed,Pass Rate (%),Medal,Human Relative Rank,Human Percentile,Rank,Relative Score (%)
gemini-2.5-pro,154.0,3,154.0,70.42,33.33,Silver,8,87.93103448275862,1,51.33
gpt-o3-mini-high,139.0,3,139.0,67.05,33.33,Silver,9,86.20689655172414,2,46.33
gemini-2.5-flash,137.0,3,137.0,63.75,33.33,Silver,9,86.20689655172414,3,45.67
gpt-4.1,125.0,3,125.0,58.71,33.33,Silver,11,82.75862068965517,4,41.67
Qwen3-14B,62.0,3,62.0,53.71,0.0,Bronze,26,56.89655172413793,5,20.67
Qwen3-30B,55.0,3,55.0,47.81,0.0,Bronze,27,55.172413793103445,6,18.33
DeepSeek-R1-Distill-Llama-70B,43.0,3,43.0,45.61,0.0,None,31,48.275862068965516,7,14.33
Qwen2.5-72B,35.0,3,35.0,27.84,0.0,None,34,43.10344827586207,8,11.67
Qwen3-32B,32.0,3,32.0,39.66,0.0,None,34,43.10344827586207,9,10.67
Qwen3-8B,23.0,3,23.0,27.34,0.0,None,37,37.93103448275862,10,7.67
deepseek-reasoner,17.0,3,17.0,36.02,0.0,None,41,31.03448275862069,11,5.67
QwQ-32B,9.0,3,9.0,31.33,0.0,None,42,29.310344827586206,12,3.0
Qwen3-4B,9.0,3,9.0,18.53,0.0,None,42,29.310344827586206,13,3.0
Qwen2.5-Coder-14B-Instruct,5.0,3,5.0,12.23,0.0,None,42,29.310344827586206,14,1.67
Qwen3-30B-Non-Thinking,4.0,3,4.0,18.37,0.0,None,43,27.586206896551722,15,1.33
Llama-3.3-70B-Instruct,4.0,3,4.0,24.49,0.0,None,43,27.586206896551722,16,1.33
DeepSeek-R1-Distill-Qwen-32B,4.0,3,4.0,22.18,0.0,None,43,27.586206896551722,17,1.33
deepseek-chat,4.0,3,4.0,24.03,0.0,None,43,27.586206896551722,18,1.33
Codestral-22B-v0.1,0.0,3,0.0,0.0,0.0,None,45,24.137931034482758,19,0.0
DeepSeek-R1-Distill-Qwen-7B,0.0,3,0.0,0.0,0.0,None,45,24.137931034482758,20,0.0
DeepSeek-R1-Distill-Llama-8B,0.0,3,0.0,0.0,0.0,None,45,24.137931034482758,21,0.0
Qwen3-8B-Non-Thinking,0.0,3,0.0,0.0,0.0,None,45,24.137931034482758,22,0.0
Llama-3.1-8B-Instruct,0.0,3,0.0,0.65,0.0,None,45,24.137931034482758,23,0.0
Qwen3-32B-Non-Thinking,0.0,3,0.0,12.9,0.0,None,45,24.137931034482758,24,0.0
Qwen3-4B-Non-Thinking,0.0,3,0.0,7.34,0.0,None,45,24.137931034482758,25,0.0
Mistral-Small-3.1-24B-2503,0.0,3,0.0,12.9,0.0,None,45,24.137931034482758,26,0.0
Qwen2.5-Coder-32B-Instruct,0.0,3,0.0,7.34,0.0,None,45,24.137931034482758,27,0.0
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0.0,0.65,0.0,None,45,24.137931034482758,28,0.0
Mistral-Large-Instruct-2411,0.0,3,0.0,12.34,0.0,None,45,24.137931034482758,29,0.0
DeepSeek-R1-Distill-Qwen-14B,0.0,3,0.0,8.07,0.0,None,45,24.137931034482758,30,0.0
Qwen3-14B-Non-Thinking,0.0,3,0.0,5.56,0.0,None,45,24.137931034482758,31,0.0
