Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Bronze Score,Silver Score,Gold Score,Rank,Competition,Year,Round,Contest_Key
gemini-2.5-pro,2834.0,9,8,1,88.88888888888889,94.56122789456123,Gold,834.0,1000.0,1000.0,1,USACO,2023,combined,USACO-2023-December_Contest-combined
gpt-o3-mini-high,2834.0,9,8,1,88.88888888888889,94.56122789456123,Gold,834.0,1000.0,1000.0,2,USACO,2023,combined,USACO-2023-December_Contest-combined
gemini-2.5-flash,2384.0,9,6,2,66.66666666666666,79.5462128795462,Silver,967.0,750.0,667.0,3,USACO,2023,combined,USACO-2023-December_Contest-combined
deepseek-reasoner,2307.0,9,6,3,66.66666666666666,76.97697697697697,Bronze,834.0,723.0,750.0,4,USACO,2023,combined,USACO-2023-December_Contest-combined
QwQ-32B,2207.0,9,6,3,66.66666666666666,73.6403069736403,Bronze,734.0,723.0,750.0,5,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-32B,2134.0,9,5,4,55.55555555555556,71.20453787120454,Bronze,834.0,550.0,750.0,6,USACO,2023,combined,USACO-2023-December_Contest-combined
DeepSeek-R1-Distill-Llama-70B,1951.0,9,5,4,55.55555555555556,65.09843176509843,Silver,767.0,750.0,434.0,7,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-30B,1918.0,9,5,4,55.55555555555556,63.99733066399733,Silver,734.0,750.0,434.0,8,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-14B,1768.0,9,4,4,44.44444444444444,58.99232565899233,Bronze,767.0,584.0,417.0,9,USACO,2023,combined,USACO-2023-December_Contest-combined
DeepSeek-R1-Distill-Qwen-32B,1707.0,9,4,4,44.44444444444444,56.95695695695696,Bronze,800.0,240.0,667.0,10,USACO,2023,combined,USACO-2023-December_Contest-combined
gpt-4.1,1461.0,9,2,6,22.22222222222222,48.74874874874875,None,332.0,379.0,750.0,11,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-8B,1458.0,9,3,5,33.33333333333333,48.64864864864865,Bronze,767.0,340.0,351.0,12,USACO,2023,combined,USACO-2023-December_Contest-combined
deepseek-chat,1365.0,9,2,5,22.22222222222222,45.545545545545544,None,434.0,285.0,646.0,13,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-4B,1232.0,9,2,7,22.22222222222222,41.10777444110777,None,485.0,313.0,434.0,14,USACO,2023,combined,USACO-2023-December_Contest-combined
DeepSeek-R1-Distill-Qwen-14B,1014.0,9,2,5,22.22222222222222,33.83383383383383,None,434.0,229.0,351.0,15,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-30B-Non-Thinking,1007.0,9,2,4,22.22222222222222,33.60026693360027,None,152.0,84.0,771.0,16,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-32B-Non-Thinking,982.0,9,1,7,11.11111111111111,32.7660994327661,None,299.0,201.0,482.0,17,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen2.5-Coder-32B-Instruct,934.0,9,1,5,11.11111111111111,31.1644978311645,None,434.0,284.0,216.0,18,USACO,2023,combined,USACO-2023-December_Contest-combined
Mistral-Large-Instruct-2411,725.0,9,1,5,11.11111111111111,24.190857524190857,None,434.0,179.0,112.0,19,USACO,2023,combined,USACO-2023-December_Contest-combined
Llama-3.3-70B-Instruct,712.0,9,1,6,11.11111111111111,23.75709042375709,None,434.0,112.0,166.0,20,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen2.5-72B,707.0,9,1,6,11.11111111111111,23.590256923590257,None,434.0,146.0,127.0,21,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-14B-Non-Thinking,693.0,9,1,5,11.11111111111111,23.123123123123122,None,127.0,128.0,438.0,22,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-8B-Non-Thinking,461.0,9,0,4,0.0,15.38204871538205,None,332.0,84.0,45.0,23,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen3-4B-Non-Thinking,456.0,9,0,6,0.0,15.215215215215217,None,332.0,101.0,23.0,24,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen2.5-Coder-14B-Instruct,413.0,9,0,7,0.0,13.780447113780447,None,152.0,201.0,60.0,25,USACO,2023,combined,USACO-2023-December_Contest-combined
Qwen2.5-Coder-7B-Instruct,268.0,9,0,5,0.0,8.942275608942275,None,127.0,118.0,23.0,26,USACO,2023,combined,USACO-2023-December_Contest-combined
Mistral-Small-3.1-24B-2503,254.0,9,0,5,0.0,8.475141808475142,None,152.0,101.0,1.0,27,USACO,2023,combined,USACO-2023-December_Contest-combined
Codestral-22B-v0.1,254.0,9,0,4,0.0,8.475141808475142,None,152.0,101.0,1.0,28,USACO,2023,combined,USACO-2023-December_Contest-combined
DeepSeek-Coder-V2-Lite-Instruct,228.0,9,0,6,0.0,7.6076076076076085,None,60.0,128.0,40.0,29,USACO,2023,combined,USACO-2023-December_Contest-combined
Llama-3.1-8B-Instruct,126.0,9,0,3,0.0,4.2042042042042045,None,68.0,57.0,1.0,30,USACO,2023,combined,USACO-2023-December_Contest-combined
DeepSeek-R1-Distill-Llama-8B,103.0,9,0,1,0.0,3.4367701034367704,None,101.0,1.0,1.0,31,USACO,2023,combined,USACO-2023-December_Contest-combined
DeepSeek-R1-Distill-Qwen-7B,3.0,9,0,0,0.0,0.10010010010010009,None,1.0,1.0,1.0,32,USACO,2023,combined,USACO-2023-December_Contest-combined
