Model,Total Score,Included Tasks,Solved Tasks,Partial Tasks,Pass Rate (%),Relative Score (%),Medal,Platinum Score,Rank,Competition,Year,Round,Contest_Key
Qwen3-32B,164.0,3,0,3,0.0,16.416416416416414,None,164.0,1,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-o3-mini-high,140.0,3,0,3,0.0,14.014014014014014,None,140.0,2,USACO,2024,platinum,USACO-2024-December_Contest-platinum
deepseek-reasoner,96.0,3,0,2,0.0,9.60960960960961,None,96.0,3,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gpt-4.1,96.0,3,0,2,0.0,9.60960960960961,None,96.0,4,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-14B,93.0,3,0,3,0.0,9.30930930930931,None,93.0,5,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-30B,72.0,3,0,2,0.0,7.207207207207207,None,72.0,6,USACO,2024,platinum,USACO-2024-December_Contest-platinum
deepseek-chat,72.0,3,0,2,0.0,7.207207207207207,None,72.0,7,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-30B-Non-Thinking,72.0,3,0,2,0.0,7.207207207207207,None,72.0,8,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-14B-Non-Thinking,72.0,3,0,2,0.0,7.207207207207207,None,72.0,9,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gemini-2.5-pro,69.0,3,0,2,0.0,6.906906906906906,None,69.0,10,USACO,2024,platinum,USACO-2024-December_Contest-platinum
gemini-2.5-flash,69.0,3,0,2,0.0,6.906906906906906,None,69.0,11,USACO,2024,platinum,USACO-2024-December_Contest-platinum
QwQ-32B,45.0,3,0,2,0.0,4.504504504504505,None,45.0,12,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Llama-70B,45.0,3,0,2,0.0,4.504504504504505,None,45.0,13,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-32B-Non-Thinking,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,14,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-Coder-32B-Instruct,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,15,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-8B,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,16,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-4B,24.0,3,0,1,0.0,2.4024024024024024,None,24.0,17,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Llama-3.3-70B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,18,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-4B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,19,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-7B,0.0,3,0,0,0.0,0.0,None,0.0,20,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Mistral-Small-3.1-24B-2503,0.0,3,0,0,0.0,0.0,None,0.0,21,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-Coder-14B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,22,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen3-8B-Non-Thinking,0.0,3,0,0,0.0,0.0,None,0.0,23,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-Coder-7B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,24,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Llama-3.1-8B-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,25,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-Coder-V2-Lite-Instruct,0.0,3,0,0,0.0,0.0,None,0.0,26,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Qwen2.5-72B,0.0,3,0,0,0.0,0.0,None,0.0,27,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Codestral-22B-v0.1,0.0,3,0,0,0.0,0.0,None,0.0,28,USACO,2024,platinum,USACO-2024-December_Contest-platinum
Mistral-Large-Instruct-2411,0.0,3,0,0,0.0,0.0,None,0.0,29,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-32B,0.0,3,0,0,0.0,0.0,None,0.0,30,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Qwen-14B,0.0,3,0,0,0.0,0.0,None,0.0,31,USACO,2024,platinum,USACO-2024-December_Contest-platinum
DeepSeek-R1-Distill-Llama-8B,0.0,3,0,0,0.0,0.0,None,0.0,32,USACO,2024,platinum,USACO-2024-December_Contest-platinum
