problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.080,5.1640625,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.050,4.39453125,,21,18,31,40,0
restorani,MEMORY_LIMIT_EXCEEDED,0,0.68%,0.090,48.9921875,,0,0,0,0,0
cesta,RUNTIME_ERROR,0,0.92%,0.020,2.58984375,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.020,0,,17,12,12,9,0
bitovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.050,1.5546875,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.040,3.6171875,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.020,0,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.030,3.36328125,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,TIME_LIMIT_EXCEEDED,65,74.10%,2.410,5.71875,,10,20,35,0,0
roboti,TIME_LIMIT_EXCEEDED,10,34.09%,2.430,18.7421875,,10,0,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.040,2.83984375,,7,16,22,25,0
dizalo,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.040,28.43359375,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.120,39.9453125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.020,2.06640625,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.210,99.0078125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.020,0.00390625,,0,0,0,0,0
mostovi,TIME_LIMIT_EXCEEDED,30,56.78%,3.630,8.0078125,,13,17,0,0,0
TOTAL,,1211,64.25%,,,56.00%,,,,,
