competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,seed-oss_-1,36272,49.61%,0.74,91.73,29.96%
APIO-2023,seed-oss_-1,97,37.34%,1.59,48.19,0.00%
APIO-2024,seed-oss_-1,5,5.95%,0.03,11.05,0.00%
BOI-2023,seed-oss_-1,193,71.87%,0.41,8.99,16.67%
BOI-2024,seed-oss_-1,336,60.72%,0.84,54.06,50.00%
BOI-2025,seed-oss_-1,21,12.79%,0.62,20.79,0.00%
CCO-2023,seed-oss_-1,121,53.29%,0.12,11.19,37.50%
CCO-2024,seed-oss_-1,140,55.00%,0.78,22.84,53.33%
CEOI-2023,seed-oss_-1,20,14.24%,1.47,409.89,0.00%
CEOI-2024,seed-oss_-1,48,50.20%,0.89,530.74,0.00%
COCI-2023,seed-oss_-1,1652,79.42%,0.35,11.77,75.00%
COCI-2024,seed-oss_-1,1211,64.25%,0.41,10.98,56.00%
COCI-2025,seed-oss_-1,1371,71.66%,0.31,51.33,60.00%
EGOI-2023,seed-oss_-1,236,30.65%,0.48,4.52,25.00%
EGOI-2024,seed-oss_-1,225,41.40%,0.63,7.73,25.00%
EJOI-2023,seed-oss_-1,113,22.33%,0.46,415.72,0.00%
EJOI-2024,seed-oss_-1,311,55.56%,0.22,37.17,50.00%
IATI-2024,seed-oss_-1,421,39.37%,0.27,24.69,18.18%
IOI-2023,seed-oss_-1,125,29.37%,0.63,17.94,0.00%
IOI-2024,seed-oss_-1,122,47.30%,1.38,419.01,0.00%
JOI-2023,seed-oss_-1,300,42.37%,0.99,7.04,10.00%
JOI-2024,seed-oss_-1,409,41.61%,0.73,78.17,10.00%
JOI-2025,seed-oss_-1,246,59.58%,1.27,253.14,40.00%
NOINordic-2023,seed-oss_-1,217,83.78%,1.70,147.43,66.67%
NOINordic-2024,seed-oss_-1,109,53.00%,0.05,4.29,33.33%
NOINordic-2025,seed-oss_-1,200,67.03%,1.77,9.86,66.67%
OOI-2023,seed-oss_-1,817,55.73%,0.84,83.58,35.29%
OOI-2024,seed-oss_-1,976,68.53%,1.00,92.91,41.18%
RMI-2023,seed-oss_-1,161,40.95%,1.01,54.44,16.67%
RMI-2024,seed-oss_-1,194,48.16%,0.85,19.23,16.67%
USACO-2023,seed-oss_-1,10388,67.21%,0.78,18.85,58.33%
USACO-2024,seed-oss_-1,9182,60.59%,0.56,25.28,50.00%
USACO-2025,seed-oss_-1,6305,56.14%,0.25,22.66,47.22%
