problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4,subtask_5,subtask_6,subtask_7,subtask_8,subtask_9
five,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
game,RUNTIME_ERROR,0,2.70%,0.120,21.16015625,,0,0,0,0,0,0,0,0,0,0
lexgcd,RUNTIME_ERROR,0,7.38%,0.040,2.84765625,,0,0,0,0,0,0,0,0,0,0
ones,WRONG_ANSWER,25,0.00%,0.090,1.95703125,,4.72823,4.07686,3.3626899999999997,2.89704,2.49904,2.03989,1.73442,1.4582600000000001,1.1255,0.8935700000000001
travel,RUNTIME_ERROR,0,0.00%,0.140,65.65625,,0,0,0,0,0,0,0,0,0,0
aquarelle,RUNTIME_ERROR,0,1.23%,0.000,0,,0,0,0,0,0,0,0,0,0,0
parentheses,TIME_LIMIT_EXCEEDED,0,5.38%,0.370,9.5546875,,0,0,0,0,0,0,0,0,0,0
tolls,ACCEPTED,100,100.00%,0.090,10.13671875,,0,5,5,10,20,10,20,30,0,0
twins,RUNTIME_ERROR,40,35.88%,0.030,2.91015625,,40,0,0,0,0,0,0,0,0,0
walk,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
xy,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0,0,0,0,0,0
TOTAL,,165,13.87%,,,9.09%,,,,,,,,,,
