problem,status,score,%test passed,time,memory,pass_rate,subtask_0,subtask_1,subtask_2,subtask_3,subtask_4
eurokod,ACCEPTED,50,100.00%,0.000,0,,17,19,14,0,0
vrsar,ACCEPTED,70,100.00%,0.070,6.7109375,,8,17,19,26,0
milano,ACCEPTED,110,100.00%,0.040,3.62109375,,21,18,31,40,0
restorani,RUNTIME_ERROR,0,0.68%,0.090,42.484375,,0,0,0,0,0
cesta,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
zlagalica,ACCEPTED,50,100.00%,0.020,0,,17,12,12,9,0
bitovi,RUNTIME_ERROR,0,0.00%,0.020,0.00390625,,0,0,0,0,0
piratski,ACCEPTED,110,100.00%,0.050,1.55859375,,20,40,50,0,0
rolete,RUNTIME_ERROR,26,22.45%,0.050,4.390625,,0,26,0,0,0
trokut,RUNTIME_ERROR,0,0.00%,0.020,0,,0,0,0,0,0
bingo,ACCEPTED,50,100.00%,0.000,0,,12,22,16,0,0
knjige,ACCEPTED,70,100.00%,0.030,3.36328125,,7,27,36,0,0
lepeze,RUNTIME_ERROR,0,3.85%,0.000,0,,0,0,0,0,0
putovanje,ACCEPTED,110,100.00%,0.830,41.07421875,,10,20,35,45,0
roboti,TIME_LIMIT_EXCEEDED,23,52.27%,2.420,64.921875,,10,13,0,0,0
pahuljice,ACCEPTED,50,100.00%,0.000,0,,11,11,28,0,0
pingvin,ACCEPTED,70,100.00%,0.040,3.53125,,7,16,22,25,0
dizalo,RUNTIME_ERROR,0,0.00%,0.020,2.58984375,,0,0,0,0,0
kuglice,ACCEPTED,110,100.00%,0.040,28.4296875,,17,10,26,15,42
zatopljenje,ACCEPTED,110,100.00%,0.670,124.53125,,10,20,20,60,0
sudoku,ACCEPTED,50,100.00%,0.000,0,,11,12,13,14,0
labirint,ACCEPTED,70,100.00%,0.020,1.8046875,,11,13,24,22,0
an2dl,ACCEPTED,110,100.00%,1.130,122.20703125,,12,17,25,56,0
kocke,RUNTIME_ERROR,0,13.33%,0.010,0.00390625,,0,0,0,0,0
mostovi,COMPILATION_ERROR,0,0.00%,0.000,0,,0,0,0,0,0
TOTAL,,1239,63.70%,,,60.00%,,,,,
