competition_year,model,total_score,avg %passed,avg_time,avg_mem,pass_rate
ALL_COMPETITIONS,seed-oss_8192,27500,39.16%,0.58,39.41,23.36%
APIO-2023,seed-oss_8192,53,29.20%,1.04,36.27,0.00%
APIO-2024,seed-oss_8192,5,5.95%,0.03,4.15,0.00%
BOI-2023,seed-oss_8192,132,38.14%,0.46,13.10,16.67%
BOI-2024,seed-oss_8192,226,41.82%,0.12,52.21,33.33%
BOI-2025,seed-oss_8192,132,28.53%,0.29,202.37,16.67%
CCO-2023,seed-oss_8192,118,50.62%,0.27,44.08,37.50%
CCO-2024,seed-oss_8192,132,51.25%,0.60,26.22,46.67%
CEOI-2023,seed-oss_8192,0,0.91%,0.01,1.36,0.00%
CEOI-2024,seed-oss_8192,59,39.33%,1.89,335.48,0.00%
COCI-2023,seed-oss_8192,1291,60.83%,0.52,23.26,56.00%
COCI-2024,seed-oss_8192,1239,63.70%,0.22,18.05,60.00%
COCI-2025,seed-oss_8192,1012,60.81%,0.50,38.99,40.00%
EGOI-2023,seed-oss_8192,200,25.71%,0.03,9.82,25.00%
EGOI-2024,seed-oss_8192,124,27.42%,0.62,4.27,12.50%
EJOI-2023,seed-oss_8192,45,6.38%,0.22,11.93,0.00%
EJOI-2024,seed-oss_8192,211,37.18%,0.11,16.46,33.33%
IATI-2024,seed-oss_8192,295,29.85%,0.31,11.48,18.18%
IOI-2023,seed-oss_8192,119,26.10%,0.57,13.86,0.00%
IOI-2024,seed-oss_8192,95,32.88%,0.70,19.20,0.00%
JOI-2023,seed-oss_8192,313,37.25%,0.81,11.38,10.00%
JOI-2024,seed-oss_8192,234,24.70%,0.75,10.17,5.00%
JOI-2025,seed-oss_8192,256,68.44%,1.75,22.45,40.00%
NOINordic-2023,seed-oss_8192,200,81.02%,0.08,17.46,66.67%
NOINordic-2024,seed-oss_8192,109,53.00%,0.04,4.93,33.33%
NOINordic-2025,seed-oss_8192,100,38.36%,2.11,2.87,33.33%
OOI-2023,seed-oss_8192,570,41.89%,0.45,97.23,17.65%
OOI-2024,seed-oss_8192,734,54.04%,1.27,43.14,23.53%
RMI-2023,seed-oss_8192,76,29.43%,0.68,76.17,0.00%
RMI-2024,seed-oss_8192,139,31.79%,0.46,24.54,16.67%
USACO-2023,seed-oss_8192,7800,50.85%,0.60,12.56,41.67%
USACO-2024,seed-oss_8192,6935,45.81%,0.57,48.81,33.33%
USACO-2025,seed-oss_8192,4546,40.06%,0.39,6.90,30.56%
